"","room","batch","round","condition","team","task","n","teamMeanViability","teamMedianViability","groupManipulationCheck","teamProportionFracture","teamMembers","viabilityZ","teamFracture","fracture"
"479","D",1553965861830,3,"unmasked","B","cognative-conflic",3,47.3333333333333,49,0.333333333333333,0.333333333333333,"8LFVyGvNL7B6wkcUAAAr, nExZk0OuMLRdaLWOAAA0, wXPCHT7WinjoPcTiAAA5",-0.966090670714941,FALSE,0
"480","D",1553971861554,1,"masked","A","cognative-conflic",3,58.6666666666667,55,0.333333333333333,0,"EX3-zNEDs_5KhuphAAAo, knZ9U0Bhx_ZXkrGcAAAG, o2ZyN9OTM2_Y8fnlAAAl",0.357733182577983,FALSE,0
"481","D",1553971861554,3,"masked","B","cognative-conflic",3,54.6666666666667,56,0.333333333333333,0,"foH2JTGpfFIpdA6oAAAY, o2ZyN9OTM2_Y8fnlAAAl, TlkRib-DbEDWkAaNAAAZ",-0.109498765643049,FALSE,0
"482","D",1553971861554,4,"masked","Ap","cognative-conflic",3,46.3333333333333,51,0.333333333333333,0.666666666666667,"EX3-zNEDs_5KhuphAAAo, knZ9U0Bhx_ZXkrGcAAAG, o2ZyN9OTM2_Y8fnlAAAl",-1.0828986577702,TRUE,1
"483","D",1553972461592,1,"masked","A","cognative-conflic",3,58.3333333333333,56,0.333333333333333,0,"6jW3SYEFo5PPgnWSAAAu, CerEgGcwF9XuuZeYAAAX, f-oNK2oLQQRotwxCAAAr",0.318797186892898,FALSE,0
"484","D",1553972461592,2,"masked","B","cognative-conflic",3,62.6666666666667,62,0,0.333333333333333,"-_4q0roojpIHll3UAAAh, f-oNK2oLQQRotwxCAAAr, Ts9iPKl7tlQejYDZAAAw",0.824965130799016,FALSE,0
"485","D",1553972461592,3,"masked","Ap","cognative-conflic",3,56.3333333333333,54,0.333333333333333,0.333333333333333,"6jW3SYEFo5PPgnWSAAAu, CerEgGcwF9XuuZeYAAAX, f-oNK2oLQQRotwxCAAAr",0.0851812127823818,FALSE,0
"486","D",1553972461592,4,"masked","B","cognative-conflic",3,61.3333333333333,64,0,0,"CerEgGcwF9XuuZeYAAAX, cjPcimmU_6Ij0QArAAAx, Ts9iPKl7tlQejYDZAAAw",0.669221148058672,FALSE,0
"487","D",1553973662021,1,"masked","A","cognative-conflic",3,59.3333333333333,56,0,0,"g8Xa8YqoK3T5BxjnAAAl, hWgkOpLsGwoYvP9eAAAp, Mnl_1PPY7KorXtCdAAA4",0.435605173948156,FALSE,0
"488","D",1553973662021,3,"masked","B","cognative-conflic",3,68,70,0,0,"be2fZ6yLejJnTpdrAABA, g8Xa8YqoK3T5BxjnAAAl, TFG72esST4OIeT50AAAV",1.44794106176039,FALSE,0
"489","D",1553973662021,4,"masked","Ap","cognative-conflic",3,65,69,0,0,"g8Xa8YqoK3T5BxjnAAAl, hWgkOpLsGwoYvP9eAAAp, Mnl_1PPY7KorXtCdAAA4",1.09751710059462,FALSE,0
